name,source_group,has_binding,has_functional,has_biased,has_oligomers,has_downstream,has_neuroimaging,has_pk_routes,has_conc_effect,has_metabolism,has_drug_interactions,has_pgx,has_tolerance,has_off_targets,has_identifiers,confidence
(+)-cathinone,stimulants-cathinones,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,high
(+)-ephedrine,stimulants-amphetamines,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,medium
(+)-methcathinone,stimulants-cathinones,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,medium
(+)-oxedrine,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
(+/-)-halostachine,gaba-depressants-other,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
(-)-methcathinone,stimulants-cathinones,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,high
(-)-octopamine,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,medium
(-)-oxedrine,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
(E)-indol-3-ylacetaldoxime,serotonergic-phenethylamine-psychedelics,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,high
(R)-3-Chloromethcathinone,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
(R)-3-MMC,stimulants-cathinones,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
(R)-amphetamine,stimulants-amphetamines,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,yes,high
(RS)-3-methylmethcathinone,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
(RS)-3-methylmethcathinone hydrochloride,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
"(RS)-5-methoxy-3,4-methylenedioxymethamphetamine",mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
(RS)-flephedrone hydrochloride,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,high
(S)-3-Chloromethcathinone,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
(S)-4-Chloromethcathinone,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
(Z)-indol-3-ylacetaldoxime,serotonergic-phenethylamine-psychedelics,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,high
(±)-adrenaline,gaba-depressants-other,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
(−)-cathinone,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
(−)-pseudoephedrine,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,low
"1,4-butanediol",gaba-depressants-other,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
1-methyl-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
16-Bromo-salvinorin A,dysdelics-and-kor-ligands,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,high
1b-lsd,serotonergic-tryptamines-and-lsd,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,no,low
1cP-AL-LAD,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
1cp-lsd,serotonergic-tryptamines-and-lsd,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,medium
1cP-MiPLA,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
1p-eth-lad,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
1p-lsd,serotonergic-tryptamines-and-lsd,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,high
1S-LSD,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
