source,source_id,name,aliases,raw_classes,piru_category,default_route,routes,units,dose_threshold,dose_light,dose_common,dose_strong,dose_heavy,onset,peak,total_duration,half_life_min,mechanism_summary,effects,indications,contraindications,regulatory_status,cas_no,chemical_formula,tags,sources_count,notes
benzos-cited,66f942b1febd4e799dc559b6,Alprazolam,xanax; prazolam; ksalol; niravam,benzodiazepine; habit-forming; depressant; common,Benzodiazepine,oral,oral,mg,,0.25-0.5,0.5-1.5,1.5-2,2,15-40 minutes,,5-8 hours,,,"Anxiolytic, Sedative, Muscle Relaxant, Amnesia, Dystaxia, Hiccups, Loss of time, Loss of motor skills",,,,,,,6,"NOTE: Warning - higher doses increase the chances of blacking out | An extremely common benzodiazepine better known as Xanax, frequently prescribed for the treatment of anxiety and panic disorders. Alprazolam is short-lasting and primarily anxiolytic, though also possesses hypnotic properties. At high doses amnesia and loss of inhibition are common. Do not mix with other depressants. | Avoid: When taken for a long period of time, abrupt discontinuation is highly unadvised. Avoid combining other depressants such as Alcohol. | Alprazolam - 0.5mg ~=10mg Diazepam. | After-effects: 6-24 hours"
benzos-cited,66f942b1febd4e799dc559b7,Ativan,,,Other,intramuscular,intramuscular; oral,mg; mg,; ,0.25-0.5; 0.5,0.5-1; 1-2,1-2; 2-4,; ,,,,,,,,,,,,,0,"An intermediate acting benzodiazepine commonly known as Ativan, commonly prescribed as an alternative to Xanax. Sedating, hypnotic and anxiolytic. Potential to induce amnesia and lowered inhibitions in overdose. Do not combine with other depressants. | Lorazepam - 1mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc559b8,Azepamid,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,Benzodiazepine derivative that has all of the classic benzodiazepine effects. Is a long-acting benzodiazepine drug (Half life of 36-200 hours) Is rarely prescribed in most countries. Is also a prodrug for Diazepam. Think of it as Desoxy-Diazepam if you'd like to. | Avoid: All other CNS depressants. | Medazepam - 10mg ~=10mg Diazepam.
benzos-cited,66f942b1febd4e799dc559b9,Baronite,,,Other,oral,oral,mg,,2-5,5-15,15-20,20-30,,,,,,,,,,,,,0,"Hypnotic Benzodiazepine, that is used for short term relief of anxiety and insomnia. It has a pronouced affect on respritory action. | Nitrazepam - 10mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc559ba,Brazepam,,,Other,oral,oral,mg,,2.5-5,5-10,,10-15,,,,,,,,,,,,,0,"A benzodiazepine drug with a medium-long duration, developed by Roche in the 1960s. Has primarily anxiolytic properties. May cause lowered inhibitions and amnesia in high doses. | Avoid: All other CNS depressants. | Bromazepam - 5-6mg's ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc559bb,Bromazepam,lectopam; lexilium; lexotan; brazepam; lexotanil,benzodiazepine; habit-forming; depressant,Benzodiazepine,oral,oral,mg,,2.5-5,5-10,,10-15,10-20 minutes,,4-8 hours,,,"Anxiolytic, Sedative, Muscle Relaxant, Amnesia, Dystaxia",,,,,,,1,"NOTE: 6mg of Bromazepam is approximately equivelant to 10mg Diazepam | A benzodiazepine drug with a medium-long duration, developed by Roche in the 1960s. Has primarily anxiolytic properties. May cause lowered inhibitions and amnesia in high doses. | Avoid: All other CNS depressants. | Bromazepam - 5-6mg's ~=10mg Diazepam. | After-effects: 1-16 hours"
benzos-cited,66f942b1febd4e799dc559bc,Brotizolam,lendormin,depressant; benzodiazepine; habit-forming,Benzodiazepine,oral,oral,µg,80,100,200-400,400,,,,,,,"Anxiolytic, Sedative, Muscle Relaxant, Amnesia, Dystaxia",,,,,,,1,"Benzodiazepine analogue which is sedating, hypnotic and anxiolytic. It is available as prescription medicine in much of Europe, and is an extremely potent drug active at only 80ug. May cause amnesia and lowered inhibitions in overdose. Danger of respiratory depression when combined with other depressants. Short half life. | Avoid: All other CNS depressants. | Brotizolam - 0.25mg ~=10mg Diazepam. | After-effects: 1-4 hours"
benzos-cited,66f942b1febd4e799dc559bd,Centrac,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Benzodiazepine dervative. Has all the normal benzodiazepine-like quality (Anxiolytic/anticonvulsant/sedative/Skeletal muscle relaxant) It is also a prodrug for Desmethyldiazepam which is responsible for most if not all of the effects of Prazepam. | Avoid: All other CNS depressants, and Cimetidine | Prazepam - 15mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc559be,Centrax,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Benzodiazepine dervative. Has all the normal benzodiazepine-like quality (Anxiolytic/anticonvulsant/sedative/Skeletal muscle relaxant) It is also a prodrug for Desmethyldiazepam which is responsible for most if not all of the effects of Prazepam. | Avoid: All other CNS depressants, and Cimetidine | Prazepam - 15mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc559bf,Chlordiazepoxide,,,Other,oral,oral,mg,,5-10,10-20,,20-40,,,,,,,,,,,,,0,"Chlordiazepoxide, a medium-acting benzodiazepine drug prescribed mostly for sleep purposes. Sedative and hypnotic, it may cause lowered inhibitions and amnesia in high doses. | Avoid: All other CNS depressants | 25mg ~=10mg Diazepam"
benzos-cited,66f942b1febd4e799dc559c0,Clobazam,frisium,benzodiazepine; habit-forming; depressant,Benzodiazepine,oral,oral,mg,,5-10,10-15,,15-30,20-40 minutes,,6-12 hours,,,"Anxiolytic, Sedative, Muscle Relaxant, Amnesia, Dystaxia",,,,,,,2,"NOTE: 20mg of Clobazam is approximately equal to 10mg of Diazepam | A long acting benzodiazepine which focuses primarily on anxiolytic and anticonvulsant properties. It is used medically to treat epilepsy, and this along with its relatively many negative side-effects and contraindications in comparison with other benzodiazepines means it isn't frequently used recreationally. | Avoid: All other CNS depressants | Clobazam - 20mg ~=10mg Diazepam. | After-effects: 1-12 hours"
benzos-cited,66f942b1febd4e799dc559c1,Clonazepam,klonopin; kpin,benzodiazepine; habit-forming; depressant; common,Benzodiazepine,oral,oral,mg,,0.25-0.5,0.5-1,1-2,,20-45 minutes,,8-12 hours,,,"Anxiolytic, Sedative, Muscle Relaxant, Amnesia, Dystaxia, Hypnotic",,,,,,,4,"NOTE: 0.5mg of Clonazepam is approximately equal to 10mg Diazepam. | A medium-length common prescription benzodiazepine, often used to treat panic attacks because of its relatively fast sublingual onset. Primarily anxiolytic, but also possessing of other benzo traits. | Avoid: All other CNS depressants | Clonazepam - 0.5mg ~=10mg Diazepam. | After-effects: 8-48 hours"
benzos-cited,66f942b1febd4e799dc559c2,Clorazepate,tranxene; novo-clopate; tranzene,depressant; benzodiazepine; habit-forming,Benzodiazepine,oral,oral,mg,,5-10,10-20,20-40,,20-80 minutes,,8-12 hours,,,"Anxiolytic, Sedative, Muscle Relaxant, Amnesia, Dystaxia, Hypnotic",,,,,,,1,"Is a prodrug for Desmethyldiazepam which is responsible for most of the therapeutic effects. Has a long half life, with the addition of Desmethyldiazepam as the main metabolite, which makes it much longer. | Avoid: All other CNS depressants. | Clorazepate - 15mg ~=10mg Diazepam. | After-effects: 1-8 hours"
benzos-cited,66f942b1febd4e799dc559c3,Dalmane,,,Other,oral,oral,mg,,5-10,15-30,30-60,,,,,,,,,,,,,,0,"Benzodiazepine with an extremely long half life, between 40 and 250 hours. Mainly used for general anxiety disorder. Sedating, hypnotic, anxiolytic. Potential for amnesia and reduced inhibitions in overdose. | Avoid: All other CNS depressants. | Flurazepam - 15-30mg's ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc559c4,Demetrin,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Benzodiazepine dervative. Has all the normal benzodiazepine-like quality (Anxiolytic/anticonvulsant/sedative/Skeletal muscle relaxant) It is also a prodrug for Desmethyldiazepam which is responsible for most if not all of the effects of Prazepam. | Avoid: All other CNS depressants, and Cimetidine | Prazepam - 15mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc559c5,Depas,,,Other,oral,oral,mg,,0.5-1,1-2,2-4,,,,,,,,,,,,,,0,"A thienodiazepine anxiolytic. Similar in action to benzodiazepine drugs. Relieves anxiety, causes sedation and mild euphoria. High doses can lead to losing memory of what happened while on the drug. Users often compulsively re-dose frequently leading to accidental blackouts. Can be found in pressed pharmaceutical pills from various countries, clandestine pill presses, or as a powder | Avoid: Other depressants such as Alcohol and Opioids. | Etizolam - 1mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc559c6,Desmethyldiazepam,,,Other,oral,oral,mg,,2.5-5,5-15,15-30,,,,,,,,,,,,,,0,"Has all the normal benzodiazepine effects. Such as being an anti-convulsant, muscle relaxant, sedative effects, and anxiolytic. Active metabolite of Diazepam, Chlordiazepoxide, Clorazepate, among many others, which is where most of its effects come from. Has one of the longest lasting half-lifes in the class. | Avoid: All other CNS depressants. | Nordazepam - 10mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc559c7,Diazepam,valium,benzodiazepine; habit-forming; depressant; common,Benzodiazepine,oral,oral,mg,,2.5-5,5-15,,15-30,30-90 minutes,,10-24 hours,,,"Memory loss, Blackout potential, Motor skill impairment, Dizziness, Depression, Irritability, Aggression, Rage, Personality changes, Drowsiness, Appetite fluctuation, Euphoria, Relaxation, Anxiety suppression, Muscle relaxation, Emotional and social dissociation or de-realization (normally seen with long term use)",,,,,,,6,A very common and widely prescribed benzodiazepine with hypnotic and sedative qualities. The metre by which other benzodiazepines are compared. May cause amnesia and lowered inhibitions in excess. Has a relatively long half-life in comparison with other benzodiazepines. | Avoid: All other CNS depressants | Diazepam - 10mg ~=10mg Diazepam. | After-effects: 1-120 hours
