source,source_id,name,aliases,raw_classes,piru_category,default_route,routes,units,dose_threshold,dose_light,dose_common,dose_strong,dose_heavy,onset,peak,total_duration,half_life_min,mechanism_summary,effects,indications,contraindications,regulatory_status,cas_no,chemical_formula,tags,sources_count,notes
nps-datahub,ce7dc8e9-f19b-46bb-8c99-0925e5e8dcb5,MDMA,"N,α-dimethyl-1,3-benzodioxole-5-ethanamine, monohydrochloride; 1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine hydrochloride",Phenethylamines; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen,Stimulant,,,,,,,,,,,,,,,,,,64057-70-1,C11H16ClNO2,Phenethylamines; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen; Small molecule; MDMA HCl - C11H16ClNO2 - 64057-70-1,,"(RS)-1-(Benzo[d][1,3]dioxol-5-yl)-N-methylpropan-2-amine. hydrochloride"
nps-datahub,2417a3ac-994f-4760-9c54-01e2e5dfefa7,DFMDA,"-(2,2-Difluoro-1,3-benzodioxol-5-yl)propan-2-amine; DiFMDA",Phenethylamines; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen,Stimulant,,,,,,,,,,,,,,,,,,914800-77-4,C10H12ClF2NO2,Phenethylamines; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen; Small molecule; DFMDA HCl - C10H12ClF2NO2 - 914800-77-4,,"-(2,2-Difluoro-1,3-benzodioxol-5-yl)propan-2-amine"
nps-datahub,0861e933-322c-4f66-9725-660ec1ae886c,JWH-015,(2-Methyl-1-propyl-1H-indol-3-yl)-1-naphthalenylmethanone; (2-methyl-1-propyl-1H-indol-3-yl)-1-naphthalenyl-methanone,"Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen",Cannabinoid,,,,,,,,,,,,,,,,,,155471-08-2,C23H21NO,"Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; Small molecule; JWH-015 - C23H21NO - 155471-08-2",,(2-Methyl-1-propyl-1H-indol-3-yl)-1-naphthalenylmethanone
nps-datahub,62b8e59c-b1a2-455e-bc9c-97cfda314999,2C-P,"2-(2,5-dimethoxy-4-propylphenyl)ethanamine;hydrochloride; hydrogen 2-(2,5-dimethoxy-4-propylphenyl)ethan-1-amine chloride",Phenethylamines; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen,Stimulant,,,,,,,,,,,,,,,,,,1359704-27-0,C13H22ClNO2,Phenethylamines; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen; Small molecule; 2C-P HCl - C13H22ClNO2 - 1359704-27-0,,"2-(2,5-dimethoxy-4-propylphenyl)ethanamine;hydrochloride"
nps-datahub,14f54111-b967-4d93-881e-7630244e90cc,Diethyltryptamine,"N,N-diethyl-1H-indole-3-ethanamine, hydrochloride; N,N-Diethyltryptaminehydrochloride",Tryptamines; 2020/5.1 Indol-3-alkylamine; 2021/5.1 Indol-3-alkylamine; 2022/5.1 Indol-3-alkylamine,Psychedelic,,,,,,,,,,,,,,,,,,7558-72-7,C14H21ClN2,Tryptamines; 2020/5.1 Indol-3-alkylamine; 2021/5.1 Indol-3-alkylamine; 2022/5.1 Indol-3-alkylamine; Small molecule; Diethyltryptamine - C14H21ClN2 - 7558-72-7,,"N,N-diethyl-1H-indole-3-ethanamine, hydrochloride"
nps-datahub,546e1a81-8961-4e29-bd28-082d093d82ba,5-API,5-API (5-IT) solution; α-methyl-1H-indole-5-ethanamine,Phenethylamines,Stimulant,,,,,,,,,,,,,,,,,,2115707-65-6,C11H15ClN2,Phenethylamines; Small molecule; 5-API - C11H15ClN2 - 2115707-65-6,,α-methyl-1H-indole-5-ethanamine
nps-datahub,abf35317-973f-477b-b3fc-52e28c23fbaf,MDMB-CHMICA-2-Cl-analoge,,"Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen",Cannabinoid,,,,,,,,,,,,,,,,,,,C23H31ClN2O3,"Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; Small molecule; MDMB-CHMICA-2-Cl-analoge - C23H31ClN2O3",,
nps-datahub,f9e56d3d-bcaf-4992-9b17-12da2334a4cb,"3,4-Dichloromethylphenidate","(αR,2R)-rel-α-(3,4-dichlorophenyl)-2-piperidineacetic acid, methyl ester, monohydrochloride; methyl (2S)-2-(3,4-dichlorophenyl)-2-[(2R)-piperidin-2-yl]acetate hydrochloride",Phenethylamines; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen,Stimulant,,,,,,,,,,,,,,,,,,,C14H18Cl3NO2,"Phenethylamines; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen; Small molecule; 3,4-Dichloromethylphenidate HCl - C14H18Cl3NO2",,"methyl (2S)-2-(3,4-dichlorophenyl)-2-[(2R)-piperidin-2-yl]acetate hydrochloride"
nps-datahub,5cad41db-4a9f-4115-8f9d-aad7185693b9,Aildenafil,"methisosildenafil; 5-(5-(((3R,5S)-3,5-Dimethylpiperazin-1-yl)sulfonyl)-2-ethoxyphenyl)-1-methyl-3-propyl-1H-pyrazolo[4,3-d]pyrimidin-7(4H)-one",Lifestyle drug,Other,,,,,,,,,,,,,,,,,,,C23H34ClN6O4S,Lifestyle drug; Small molecule; Aildenafil HCl - C23H34ClN6O4S,,"5-(5-(((3R,5S)-3,5-Dimethylpiperazin-1-yl)sulfonyl)-2-ethoxyphenyl)-1-methyl-3-propyl-1H-pyrazolo[4,3-d]pyrimidin-7(4H)-one"
nps-datahub,f3224f2a-3d66-4f52-b613-3eaef8c59b0e,MDMB-PCZCA,"methyl 3,3-dimethyl-2-[(9-pentylcarbazol-3-yl)formamido]butanoate; methyl 3,3-dimethyl-2-[(9-pentyl-9H-carbazol-3-yl)formamido]butanoate","Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen",Cannabinoid,,,,,,,,,,,,,,,,,,,C25H32N2O3,"Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; Small molecule; MDMB-PCZCA - C25H32N2O3",,"methyl 3,3-dimethyl-2-[(9-pentyl-9H-carbazol-3-yl)formamido]butanoate"
