source,source_id,name,aliases,raw_classes,piru_category,default_route,routes,units,dose_threshold,dose_light,dose_common,dose_strong,dose_heavy,onset,peak,total_duration,half_life_min,mechanism_summary,effects,indications,contraindications,regulatory_status,cas_no,chemical_formula,tags,sources_count,notes
pyrls,639e391cfcae6920598b5328,Aclidinium,Tudorza Pressair,Long-Acting Muscarinic Antagonist,Other,inhalation,inhalation,,,,,,,,,,,Reversibly competes and antagonizes muscarinic receptors in the airways causing smooth muscle relaxation and bronchodilation .,,Maintenance treatment of chronic obstructive pulmonary disease (COPD),Severe hypersensitivity to milk proteins; Hypersensitivity aclidinium bromide or any formulation ingredients,rx; Prescription only,,,Dry powder inhaler; Long-Acting Muscarinic Antagonist,2,
pyrls,639e391cfcae6920598b5329,Glycopyrrolate,Seebri Neohaler,Long-Acting Muscarinic Antagonist,Other,inhalation,inhalation,,,,,,,,,,,Reversibly competes and antagonizes muscarinic receptors in the airways causing smooth muscle relaxation and bronchodilation .,,"Maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and/or emphysema",Hypersensitivity to glycopyrrolate or any formulation ingredients,rx; Prescription only,,,Dry powder inhaler; Long-Acting Muscarinic Antagonist,2,
pyrls,639e391cfcae6920598b532a,Tiotropium,Spiriva Handihaler; Spiriva Respimat,Long-Acting Muscarinic Antagonist,Other,inhalation,inhalation,,,,,,,,,,,Reversibly competes and antagonizes muscarinic receptors in the airways causing smooth muscle relaxation and bronchodilation .,,"(Spiriva Respimat formulation only) : maintenance treatment of asthma in patients 6+ years old; Maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and/or emphysema","Hypersensitivity to tiotropium, ipratropium, or any formulation ingredients",rx; Prescription only,,,"Dry powder inhaler, Soft mist inhaler; Long-Acting Muscarinic Antagonist",4,
pyrls,639e391cfcae6920598b532b,Umeclidinium,Incruse Ellipta,Long-Acting Muscarinic Antagonist,Other,inhalation,inhalation,,,,,,,,,,,Reversibly competes and antagonizes muscarinic receptors in the airways causing smooth muscle relaxation and bronchodilation .,,Maintenance treatment of patients with chronic obstructive pulmonary disease (COPD),Severe hypersensitivity to milk proteins; Hypersensitivity to umeclidinium or any formulation ingredients,rx; Prescription only,,,Dry powder inhaler; Long-Acting Muscarinic Antagonist,2,
pyrls,639e391cfcae6920598b532c,Salmeterol,Serevent Diskus,Long-Acting Beta-2 Agonist,Other,inhalation,inhalation,,,,,,,,,,,Selectively agonizes beta-2 adrenergic receptors in the airways causing smooth muscle relaxation and bronchodilation .,,"Maintenance treatment of asthma and in the prevention of bronchospasm only as concomitant therapy with an ICS in patients age 4+ years with reversible obstructive airway disease, including those with symptoms of nocturnal asthma; Use for asthma without concomitant ICS therapy is contraindicated; Maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (COPD), including emphysema and chronic bronchitis; Prevention of exercise-induced bronchospasm (EIB) in patients age 4+ years ; can be used as monotherapy in those who do not have persistent asthma, however, should only be used if in combination with an ICS in those with asthma and EIB",Use for asthma without concomitant ICS therapy; Severe hypersensitivity to milk proteins; Hypersensitivity to salmeterol or any formulation ingredients,rx; Prescription only,,,Dry powder inhaler; Long-Acting Beta-2 Agonist,4,
pyrls,639e391cfcae6920598b532d,Indacaterol,Arcapta Neohaler,Long-Acting Beta-2 Agonist,Other,inhalation,inhalation,,,,,,,,,,,Selectively agonizes beta-2 adrenergic receptors in the airways causing smooth muscle relaxation and bronchodilation .,,"Maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (COPD), including emphysema and chronic bronchitis","Hypersensitivity to indacaterol or any formulation ingredients; Indacaterol is not approved for asthma, however, should it be used, use for asthma without concomitant ICS therapy is contraindicated",rx; Prescription only,,,Dry powder inhaler; Long-Acting Beta-2 Agonist,4,
pyrls,639e391cfcae6920598b532e,Olodaterol,Striverdi Respimat,Long-Acting Beta-2 Agonist,Other,inhalation,inhalation,,,,,,,,,,,Selectively agonizes beta-2 adrenergic receptors in the airways causing smooth muscle relaxation and bronchodilation .,,"Maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (COPD), including emphysema and chronic bronchitis","Hypersensitivity to olodaterol or any formulation ingredients; Olodaterol is not approved for asthma, however, should it be used, use for asthma without concomitant ICS therapy is contraindicated",rx; Prescription only,,,Soft mist inhaler; Long-Acting Beta-2 Agonist,4,
pyrls,639e391cfcae6920598b532f,Albuterol,ProAir; Proventil; Ventolin,Short-Acting Beta-2 Agonist,Other,inhalation,inhalation,,,,,,,,,,,Rapidly agonizes beta-2 adrenergic receptors in the airways causing smooth muscle relaxation and bronchodilation .,,Treatment or prevention of bronchospasm in patients 4+ years of age with reversible obstructive airway disease; Prevention of exercise-induced bronchospasm (EIB) in patients 4+ years of age,Hypersensitivity to albuterol or any formulation ingredients,rx; Prescription only,,,Metered dose inhaler (this page does not cover nebulized albuterol); Short-Acting Beta-2 Agonist,3,
pyrls,639e391cfcae6920598b5330,Levalbuterol,Xopenex,Short-Acting Beta-2 Agonist,Other,inhalation,inhalation,,,,,,,,,,,Rapidly agonizes beta-2 adrenergic receptors in the airways causing smooth muscle relaxation and bronchodilation .,,Treatment or prevention of bronchospasm in patients 4+ years of age with reversible obstructive airway disease,"Hypersensitivity to levalbuterol, racemic albuterol, or any formulation ingredients",rx; Prescription only,,,Metered dose inhaler (this page does not cover nebulized albuterol); Short-Acting Beta-2 Agonist,4,
pyrls,639e391cfcae6920598b5331,Montelukast,Singulair,Leukotriene Receptor Antagonist,Other,oral,oral,,,,,,,,,,,Selectively antagonizes leukotriene receptors (CysLT-1 receptor) blocking activation of cellular activity associated with the inflammation process and smooth muscle contraction in the airways and similar effects associated with allergic rhinitis in nasal passages.,,Prophylaxis and chronic treatment of asthma in patients 12 months of age and older; Prevention of exercise-induced bronchoconstriction (EIB) in patients 6+ years of age; Relief of symptoms of seasonal and perennial allergic rhinitis in patients 2+ years of age,Hypersensitivity to montelukast or any formulation ingredients,rx; Prescription only,,,"Tablet, Chewable Tablet, Oral Granules; Leukotriene Receptor Antagonist",4,
